25665	A
25675	I
25681	A
25683	6
25687	A
25693	13
25702	A
25704	A
25705	I
25713	I
25717	X
25724	I
25731	I
25743	A
25763	A
25765	13
25767	7
25768	7
25773	7
25774	I
25776	7
25784	11
25792	I
25806	A
25808	15
25810	A
25814	I
25820	I
25836	17
25838	11
25839	A
25842	6
25843	I
25849	8
25856	A
25860	14
25862	15
25864	I
25873	5
25882	13
25886	A
25900	I
25901	I
25913	I
25914	2
25915	A
25918	A
25920	A
25922	10
25923	3
25924	4
25950	I
25952	I
25959	A
25966	A
25975	7
25994	I
25995	7
25996	I
26004	13
26001	A
26002	I
26010	I
26013	5
26015	A
26020	I
26024	I
26028	2
26031	D
26033	7
26036	10
26041	4
26042	3
26046	10
26083	14
26085	I
26097	I
26100	I
26111	12
26161	6
26209	I
26313	A
26314	16
26315	18
26317	11
26359	A
26365	A
26470	19
26497	A
26500	15
26643	I
26681	I
26699	2
26708	12
26722	I
26727	A
26743	A
26784	3
26810	2
26854	5
26974	I
26995	A
26997	I
